imdb_id	title	runtime_mins	primary_genre	directors	writers	casts
0305295	Bich bozhiy	88	Drama	nm0275582	nm0275582,nm0865422	nm0698756,nm0554429,nm1107153,nm0465833
0385887	Motherless Brooklyn	144	Crime	nm0001570	nm0504672,nm0001570	nm0001570,nm1813221,nm0000285,nm0134072
0437086	Alita: Battle Angel	122	Action	nm0001675	nm0000116,nm0436164,nm1738737	nm4023073,nm0910607,nm0000124,nm0991810
0441881	Danger Close: The Battle of Long Tan	118	Action	nm0826541	nm0064181,nm1792356,nm1764825,nm0838283,nm4870103	nm1379938,nm0746896,nm3478396,nm3206486
0448115	Shazam!	132	Action	nm2497546	nm2849655,nm0501359,nm1791910,nm1304148	nm1157048,nm0835016,nm4755508,nm6244013
0783640	The Last Full Measure	116	Drama	nm0733149	nm0733149	nm0000168,nm1659221,nm0001626,nm0925966
0800325	The Dirt	107	Biography	nm0871860	nm5287325,nm0005136,nm1016427,nm0624702,nm1015634,nm2196897,nm0929186	nm3150488,nm3701064,nm0446622,nm3206486
0810836	Dirt Music	105	Crime	nm0429964	nm2113666,nm0936090	nm0531808,nm1330560,nm0920992,nm0669853
0837563	Pet Sematary	101	Horror	nm1552637,nm1556116	nm0000175,nm0338557,nm1161528	nm0164809,nm1541272,nm0001475,nm5503448
0858419	Bolden	108	Drama	nm2383912	nm2383912,nm2386282	nm3338149,nm0367510,nm0574534,nm0740264
10002654	Pattabhiraman	139	Drama	nm7509231	nm7509232	nm0419688,nm6684210,nm10928877,nm10928870
10004396	When I Became a Butterfly	102	Thriller	nm9757362	nm8972853,nm9757362	nm2120456,nm0354508,nm4731243
10004574	Paradise	78	Drama	nm4204751	nm3839912	nm3839912,nm3275304,nm8413691,nm9302686
10004944	Aporia	85	Action	nm10047855	nm10047855	nm10813849,nm10745658,nm10540151
10005378	In Their Own Words, Billy the Kid & The Lincoln County War	104	Drama	nm9232888	nm9232888	nm4679963,nm10542619,nm7545654,nm6790635
10006006	A Christmas Prince: The Royal Baby	84	Family	nm0776271	nm6912381,nm1405911	nm0570860,nm3858223,nm0000481,nm4835867
10006156	Krishnam	128	Drama	nm10180640	\N	nm9217532,nm10541161,nm10548912,nm7296886
10006270	Jagtsæson	92	Comedy	nm0363087	nm1735344,nm0580795	nm0098573,nm7007394,nm1738477,nm10541277
10007352	Sifir: Etkisiz Eleman	110	Comedy	nm9041086	nm10541692	nm4368315,nm2099974,nm2340189,nm6338724,nm5547321,nm9588612,nm9780089
10008784	Bull	105	Drama	nm2502502	nm2502502,nm0563987,nm1917918	nm1726032,nm10659033,nm0743931,nm10630117
10009030	Snatchers	96	Comedy	nm2616523,nm5074519	nm2616523,nm5074519,nm4733595	nm6343017,nm4083120,nm2090069,nm5120200
10009434	Family Obligations	81	Comedy	nm3659129	nm3659129	nm2583240,nm5372118,nm9624586,nm10043983
10011102	The Sholay Girl	106	Action	nm4853354	nm2215938,nm0219964	nm5089122,nm3204740,nm2668099,nm9012434
10011244	My Neighbor Wants Me Dead	51	Comedy	nm5975655	nm5975655	nm9292473,nm5965634
10011336	Lucky Grandma	100	Comedy	nm2118553	nm1723342,nm2118553	nm0157796,nm8936188,nm3166276,nm4758507
10011534	Pohon Terkenal	96	Drama	nm10328984,nm1295189	nm3997301,nm1295189,nm10328984	nm7566079,nm10028798,nm10543881,nm1277470
10014132	Jai Chhathi Maa	141	Family	nm10544526	nm10544527,nm10544526	nm0422566,nm0457410,nm1304469,nm10549490
10014838	Zabuti	105	Drama	nm4249132	nm5302316,nm4249132	nm0329812,nm7760578,nm9582810,nm10544425
10015248	Kader Postasi	104	Drama	nm7089764,nm7089765	nm7089765,nm7089764	nm1204660,nm7144136,nm1795396,nm10015205
10015418	Five Million Dollar Life	112	Mystery	nm6064448	nm7293249	nm0840486,nm8170616,nm1779256,nm2865407,nm3358390,nm6891242,nm1949362,nm0632656
10015432	Forest of the Dead Sharks	50	Action	nm5954636	nm5954636	nm5954636
10015812	Death Whisper	91	Horror	nm2934741	nm3166964,nm1819084,nm2934741	nm8294124,nm10174507,nm9413181,nm9413209
10016502	Back from 2038	88	Comedy	nm10546210	nm10556805	nm8752663,nm10556803,nm10556802,nm10546211,nm10556804,nm6950501,nm5848246
10016532	Ispade Rajavum Idhaya Raniyum	141	Drama	nm6352742	nm6352742	nm4945396,nm9603320,nm5295004,nm6106052
10017454	The Purple Mist	106	Drama	nm0052024	nm0052024,nm10546720	nm10574004,nm10574003,nm0073101,nm7405306
10017566	Bikers Kental 2	94	Comedy	nm2653225	nm11154696,nm2653225	nm3736757,nm0043429,nm5966378,nm3437966
10017680	'P' fung bou	96	Action	nm0482595	nm3332524,nm1288953	nm0465503,nm0155588,nm1332451,nm0482628
10017956	Gone Kesh	110	Drama	nm7110450	nm5800064,nm7110450	nm10797412,nm2478391,nm4340493,nm8616196
10019402	Finals	122	Drama	nm7548670	nm7548670	nm8135195,nm2241427,nm5528676,nm0683477
10021754	Incursão	114	Drama	nm7119489,nm10548225	nm7119489	nm10548226,nm0513898,nm1176711,nm2136009
10022384	The Protector	126	Comedy	nm0994379	nm2605642,nm10518402	nm2050746,nm2907513,nm0051394,nm10550148
10022858	Sucker for Love	94	Drama	nm10548871	nm10528993	nm10548978,nm10548990,nm10548992,nm10549005
10023080	Nedunalvaadai	120	Drama	nm10549047	nm10549047	nm5852535,nm10549048,nm6504384,nm10549051,nm10549049,nm10549050
10024716	Aghavan	158	Family	nm10549752	nm10549752	nm9294971,nm9712684,nm10549753,nm3830348,nm4446366,nm9717045
10025064	The Elusive Elseblades	53	Musical	nm8852216,nm8851876	\N	nm8852220,nm8851876,nm8852216,nm9787029
10026190	Kanchani Aaj Bhi Hai	133	Horror	nm10550385	\N	nm10550386
10027848	The Road To Hippie	90	Comedy	nm10551249	\N	nm10551250,nm6785657,nm10551252,nm10551251,nm4705350
10032640	O Xanthos Magos When the Show Ends	53	Biography	nm10552580	\N	nm2634271
10033908	Lucky One	76	Drama	nm6747132,nm0257011	nm8972186	nm0478411,nm0522151,nm10471552,nm3891139
10034272	Mukherjee Dar Bou	127	Drama	nm7397952	\N	nm3533508,nm3368637,nm3392688,nm0149826,nm1980626,nm5071720,nm0784292
10036992	Death of a Traveling Life Insurance Salesman	71	Drama	nm6159603	nm7949047	nm0195150,nm7949047,nm3325769,nm4340609
10037312	Bring Me the Head of Jade Brooks	100	Action	nm2408461	nm2408461	nm6918776,nm10166570,nm3030790,nm4818582,nm8627575,nm8748979,nm10895071,nm10880787
10037834	Mle Kyu	120	Comedy	nm10554895	nm10554897	nm8924145,nm10554896,nm10514438,nm9827993
10038028	The Struggle	96	Action	nm6425087	nm6425087	nm6335552,nm7953200,nm10162755,nm6874951
10038734	My Silent Lips	82	Horror	nm7050645	nm7050645	nm8171622,nm8171630,nm8171623,nm5453172
10038826	Mohyla	74	Adventure	nm4986624	nm3371300,nm9291940,nm4986624	nm8951487,nm9379904,nm10555421,nm0484861
10039014	Old Is Gold	136	Comedy	nm9955343	nm10555485	nm4143935,nm7457612,nm8814704
10039064	Muttayikkallanum Mammaliyum	122	Drama	nm10555543	nm10555544	nm6394540,nm4143935,nm2718017,nm0541126
10039344	Countdown	90	Horror	nm2280148	nm2280148	nm5634768,nm1490195,nm5145057,nm0004906
10039468	My Stupid Boss 2	96	Adventure	nm1345541	nm1345541	nm3024307,nm2716936,nm0906207,nm6970724
10039546	Suporter Masuk Pesantren	84	Comedy	nm10555829	nm10555829	nm10555836,nm10555830,nm10555831,nm10555839,nm10555832,nm10555833,nm10555834,nm10555835
10040094	Perspectives of the Mind	47	Animation	nm6043198,nm5424278	nm6043198	nm6043198,nm7450791,nm5882931,nm9671069
10043646	Odd Love	65	Comedy	nm8470448	nm8470448	nm8470448,nm4755997,nm9893398,nm7376278
10043746	Humba Dreams	75	Drama	nm0729764	nm0729764	nm11254425,nm7632097
10044220	Zagrebacki Ekvinocij	94	Comedy	nm10557486	nm10557486	nm10796134,nm10796136,nm10557489,nm6919895
10044704	Between Maybes	107	Drama	nm3504356	nm3504356,nm2752054	nm2375377,nm2621362
10044934	Bumi Itu Bulat	103	Drama	nm10557840	nm10569765,nm1302043	nm9103076,nm5777368,nm8185152,nm9762528
10045266	Butsaagui Amlalt	95	Drama	nm9837199	nm9837201	nm10558076,nm10558077,nm10558078,nm9837200
10045434	Kapi	110	Comedy	nm0243659	nm1699332	nm0408381,nm1699368,nm2507102,nm8843414
10045688	Gail's New Boyfriend	93	Comedy	nm1323640	nm1323640	nm10814245,nm10814244,nm0072284,nm10817697
10046208	La vida en común	70	Drama	nm3741331	nm3741331	nm10558363,nm10561422,nm10561580,nm10561419
10046236	Alem-i Cin 2	93	Horror	nm6356309	nm6356309,nm9470560	nm9864877,nm9399631,nm6708263,nm8688721
10046522	Sinner	100	Comedy	nm4815424	nm4815424	nm1445157,nm10193482,nm0374046,nm0684515,nm2808715,nm0886599,nm2329684
10046694	Fabuleuses	112	Comedy	nm9751877	nm9751877,nm9461382	nm6495461,nm1492850,nm8002744,nm3921137
10048376	Ya podaryu tebe pobedu	101	Drama	nm7333368	nm7333368	nm10559303,nm4516205,nm0054701,nm0045388
10048556	Staged Killer	88	Thriller	nm0712782	nm0005102,nm0779292	nm1919140,nm0082169,nm1591666,nm0378200
10049848	Once Upon a Time in Deadwood	85	Western	nm3163561	nm3163561,nm0588577	nm8459909,nm0001595,nm6414284,nm2363060
10050098	Mr Misfortune	92	Thriller	nm2875510	nm2875510	nm4004878,nm3089999,nm2584634,nm6647618
10050274	Mystified	86	Adventure	nm1777491	nm1777491,nm10831923,nm5054168,nm0309453	nm1560201,nm1009405,nm1218415,nm1403112
10050608	Drama	117	Drama	nm8030735,nm8447739,nm9414273	nm8030735,nm9414273,nm8447739	nm10560626,nm10560625,nm8494478,nm8030735
10050612	Bigfoot's Lament	60	Fantasy	nm2259048	nm2259048	nm10560633,nm2928039,nm10560632,nm0732258
10050686	British Bungalow	117	Horror	nm10560688	nm8492890,nm7995637	nm6840278,nm2649680,nm6660756,nm10428769
10051586	Scare Attraction	72	Horror	nm1953143	nm5315104,nm1953143	nm5366001,nm9354557,nm7445406,nm6761471
10052290	Milosc i milosierdzie	107	Biography	nm9761320	nm11021926,nm9761320	nm4069220,nm0540925,nm0149286,nm2545819
10052928	Black Fox: Age of the Ninja	92	Action	nm0757084	nm1373507	nm6408536,nm2306501,nm8083519,nm3059418,nm3856440,nm8083519
10053058	Angel Sign	105	Drama	nm1519363,nm4461980,nm0405783,nm0632354,nm9178723,nm3432005	\N	nm10932472,nm10932471,nm2601626,nm10233742
10054544	VI	70	Thriller	nm7639509	nm10561691,nm7641892,nm7639509	nm7639511,nm11265421,nm10705176,nm8591572
10054940	Arbëria	80	Drama	nm0647220	nm0647220	nm2941526,nm6175965,nm1355120,nm5289853
10055618	Tsungûsuka batafurai: Saki to Mari no monogatari	91	\N	nm1117292	nm8672314,nm1117292	nm10562462,nm1995372,nm10562463,nm10562152,nm2283116,nm10562464
10055762	Mullapoo Viplavam	136	Drama	nm10562582	nm10562584,nm10562583,nm10562582	nm7611622,nm9955360
10055770	Vellaipookal	122	Crime	nm8351963	nm8628554,nm8351963	nm0900266,nm1706602,nm6299092,nm10622427
10055774	Mere Pyare Deshvasiyom	110	Comedy	nm8857578	nm10562628	nm1464408,nm8814704,nm7482531
10055876	Dans la matinée	61	\N	nm1312884	nm1312884	nm10562714,nm9468706,nm10078217,nm9468705,nm6171085,nm9699336,nm10424397,nm10562717
10056322	MeloDylan	92	Drama	nm10196444,nm3160391	nm10134824,nm10562975	nm10187586,nm10318908,nm10174507,nm10052742
10056510	Dharmaprabhu	147	Drama	nm9647747	\N	nm6489058,nm1007581,nm3163756
10058396	Cocaine. Gangster. Talk.	183	Crime	nm3428843	nm3428843	nm3428843,nm5484573,nm3381703,nm6531039
10059236	Sale dovom daneshkadeh man	99	Drama	nm0755658	nm0787526	nm10564716,nm9375058,nm0608214,nm6012805
10060094	The Knight Before Christmas	92	Adventure	nm0593618	nm4426398	nm1227814,nm3262317,nm0004825,nm0447785
10060386	Hellcat's Revenge II: Deadman's Hand	82	Action	nm1363725	nm1363725	nm9353944,nm1363725,nm0244740,nm0624178,nm2567792,nm0357405,nm4907463,nm2233916,nm2238040
10061256	Hot Gimmick: Girl Meets Boy	119	Drama	nm6053080	nm7563456,nm6053080	nm7628218,nm6702072,nm6618658,nm3860014,nm6222140,nm5193520,nm6126186
10062474	Unmadiyude Maranam	78	Fantasy	nm6427447	\N	nm5423482,nm8601979
10062650	O Olho e a Faca	99	Drama	nm0755345	nm1900680,nm0755345	nm1155723,nm0579201,nm0162535,nm0083531
10062704	Sasha's Hell	98	Drama	nm8030735	nm8500614,nm8030735	nm10565085,nm10565088,nm8494478,nm10565086
10064270	Jaddi Sardar	150	Action	nm4399917	nm8337234,nm7337612	nm1125989,nm5839527,nm8050123,nm9789812
10064948	Epokalipsa	180	Horror	nm1919943	nm1919943	nm10572233,nm10572237,nm10566900,nm5687193
10065576	The Tiny Life of Butcher Duke	78	Comedy	nm2160801	nm2160801,nm2158125,nm0694737,nm4150014	nm2160801,nm8440652,nm8359684,nm6326356
